Date,Open,High,Low,Volume
214,10409.79004,10666.63965,10340.82031,463688251
215,10528.99023,10915,10509.34961,367536516
216,10820.41016,11074.9502,10572.24023,431699306
217,10978.91016,11945.37988,10978.88965,870917186
218,11807.95996,12316.84961,11224.09961,949534020
219,11467.09961,12138.54981,11393.98047,834719365
220,11974.28027,12042.87012,11498.04004,588463519
221,11982.79981,12027.57031,11674.05957,464214586
222,11865.20996,11971.34961,11232.41992,470049694
223,11293.58984,11584.34961,11119.32031,292814721
224,11549.05957,11554.74023,11240.37988,229908138
225,11387.41016,11439.48047,10765.29981,483240069
226,10872,10873.44043,9924.580078,728247545
227,10031.88965,10451.61035,9497.120117,842979140
228,10308.50977,10544.96973,9764.320313,635040831
229,10360.42969,10474.63965,10010.75977,251018339
230,10220.75,10512.88965,10079.45996,223456175
231,10326.25,10937.25977,10278.30957,426168059
232,10922.16016,10956.05957,10576.37012,332208752
233,10770.75977,10805.7002,9870.070313,584554031
234,10131.66992,10231.99023,9777.05957,380411207
235,10104.11035,10468.13965,10053.66992,324471966
236,10410.49023,10430.99023,9911.200195,283755017
237,10150.07031,10353.9502,9907.030273,259448931
238,10141.75,10626.92969,10141.75,437989368
239,10364.91016,10381.91992,10038.25977,269489962
240,10175.46973,10281.58984,9600.830078,486936428
241,9722.830078,9724.519531,9344.69043,406305621
242,9492.80957,9699.849609,9368.269531,276606372
243,9587.25,9714.110352,9512.030273,148320616
244,9624.540039,9823.530273,9578.660156,149995549
245,9768.360352,10459,9764.759766,429220162
246,10387.5,10773.26953,10296.29981,550564712
247,10625.09961,10827.13965,10392.87988,436210232
248,10585.2002,10659.59961,10475.87988,253210793
249,10556.16016,10938.38965,10228.16992,577987384
250,10309.91016,10574.99023,10304.21973,197436363
251,10491.95996,10595.70996,10286.84961,198370974
252,10420.87988,10514.58984,10101.87012,340516851
253,10314.87988,10395.09961,9966.94043,266382297
254,10109.45996,10251.96973,9874.129883,283998084
255,10165.00977,10472.07031,10057.08984,275877681
256,10428.95996,10591.4502,9855.339844,251594742
257,10372.29004,10455.37988,10251.95996,161565882
258,10365.55957,10401.53027,10279.58008,120645589
259,10313.01953,10411.05957,10103.87012,280632567
260,10271.79004,10297.99023,10152.46973,221966422
261,10198.62012,10272.19043,10100.90039,221697128
262,10163.37988,10368.45996,9641.110352,456963432
263,10281.03027,10321.17969,10065.54981,213229233
