quarter years, hare pop, lynx pop
96.50,7813.5899,781.3590
96.75,7813.5899,781.3590
97.00,7813.5899,781.3590
97.25,7813.5899,781.3590
97.50,7813.5899,781.3590
97.75,7813.5899,781.3590
98.00,7813.5899,781.3590
98.25,7813.5899,781.3590
98.50,7813.5899,781.3590
98.75,7813.5899,781.3590
99.00,7813.5899,781.3590
99.25,7813.5899,781.3590
99.50,7813.5899,781.3590
99.75,7813.5899,781.3590
100.00,7813.5899,781.3590
